ParName   Value   Gradient
F_rate[108]    0.0140383 -5.50649e-06
F_rate[109]     0.847602  9.43744e-07
F_rate[110]     0.130765 -2.44445e-06
F_rate[111]     0.843161 -1.18895e-06
F_rate[112]    0.0314353   -2.277e-06
F_rate[113]      0.65374 -4.70038e-07
F_rate[114]     0.242586 -8.34694e-07
F_rate[115]      2.06944  3.16092e-06
F_rate[116]     0.378037 -5.28975e-07
F_rate[117]      2.68385  8.94005e-08
F_rate[118]     0.659159 -3.11438e-06
F_rate[119]     0.831919 -1.26271e-06
F_rate[120]     0.697065  2.63895e-06
F_rate[121]      0.89182 -4.37007e-07
F_rate[122]    0.0205701  6.92346e-06
F_rate[123]     0.539789  1.94124e-06
F_rate[124]      0.37903 -1.95032e-06
F_rate[125]     0.519051 -2.21421e-06
F_rate[126]     0.124248  2.39069e-06
F_rate[127]     0.113454  2.12411e-06
F_rate[128]     0.335822 -3.75468e-07
F_rate[129]     0.673476   4.1844e-07
F_rate[130]    0.0254385 -2.38708e-07
F_rate[131]     0.637898  1.83235e-07
F_rate[132]    0.0580409  1.86715e-06
F_rate[133]     0.170363  2.93569e-06
F_rate[134]   0.00295702  1.08747e-05
F_rate[135]     0.152161  1.99417e-06
F_rate[136]   0.00619831  1.79846e-05
Q_parm[1]     -1.28477 -1.27977e-07
Q_parm[2]     -8.10391 -5.99126e-08
Q_parm[3]     -9.19846  1.34314e-06
Q_parm[4]    -0.994278 -5.30715e-06
selparm[1]           14            0
selparm[2]          0.9 -1.61155e-07
selparm[3]      11.6746  1.20842e-06
selparm[4]          0.9  1.06968e-07
selparm[9]      10.0523 -1.49187e-06
selparm[10]      10.3048 -3.68228e-08
selparm[11]       12.599 -2.08641e-06
selparm[12]       11.279  6.98031e-07
selparm[13]      13.4732  1.00758e-06
selparm[14]      12.9186  1.15048e-06
selparm[15]      11.1482 -2.54128e-08
selparm[16]      11.0219 -1.02598e-06
selparm[17]      12.9594  1.80612e-06
selparm[18]      11.8032 -1.06609e-06
selparm[19]      12.7023   1.6141e-06
selparm[20]      10.6393 -8.87025e-07
selparm[21]       11.649 -2.86367e-06
selparm[22]       11.696 -1.95729e-07
selparm[23]      10.7498 -4.97845e-07
